Year,Country,Value
1980,United States,968.3428571
1981,United States,1005.795055
1982,United States,1126.416667
1983,United States,1182.77381
1984,United States,1259.638095
1985,United States,1362.513095
1986,United States,1439.960823
1987,United States,1672.077778
1988,United States,1900.820093
1989,United States,2031.89881
1990,United States,2248.48744
1991,United States,2378.49235
1992,United States,2553.835909
1993,United States,2582.267607
1994,United States,2680.2099
1995,United States,2851.211324
1996,United States,3019.147664
1997,United States,3043.193334
1998,United States,3132.580398
1999,United States,3257.926054
2000,United States,3420.697924
2001,United States,3632.245315
2002,United States,3904.792605
2003,United States,4338.720471
2004,United States,4911.588326
2005,United States,5563.034962
2006,United States,6424.908899
2007,United States,6998.740152
2008,United States,7390.731745
2009,United States,7706.500219
2010,United States,8140.718871
2011,United States,8746.132586
2012,United States,9045.870507
2013,United States,9555.872514
2014,United States,9766.082609
2015,United States,9408.238645
2016,United States,9147.323848
2017,United States,9618.03671
2018,United States,9884.41131
2019,United States,11422.58115
2020,United States,14828.06278
2021,United States,22156.72794
1980,EU (27),122.2595238
1981,EU (27),159.0205128
1982,EU (27),171.9666667
1983,EU (27),172.4142857
1984,EU (27),185.2539683
1985,EU (27),216.1166667
1986,EU (27),230.0492424
1987,EU (27),227.258547
1988,EU (27),329.6431727
1989,EU (27),366.3619048
1990,EU (27),371.3236833
1991,EU (27),442.1834237
1992,EU (27),513.3255541
1993,EU (27),610.1306754
1994,EU (27),627.5655763
1995,EU (27),731.7513819
1996,EU (27),852.6863449
1997,EU (27),1033.730012
1998,EU (27),1145.672703
1999,EU (27),1140.292785
2000,EU (27),1302.805116
2001,EU (27),1351.888568
2002,EU (27),1520.266341
2003,EU (27),1681.474362
2004,EU (27),2159.134945
2005,EU (27),2582.439924
2006,EU (27),3124.639871
2007,EU (27),3555.678072
2008,EU (27),4056.338292
2009,EU (27),4487.516345
2010,EU (27),4996.113454
2011,EU (27),5466.025714
2012,EU (27),5766.72392
2013,EU (27),6154.856137
2014,EU (27),6139.437262
2015,EU (27),5811.409173
2016,EU (27),5363.537479
2017,EU (27),5317.64526
2018,EU (27),4870.928007
2019,EU (27),5102.43892
2020,EU (27),5531.030999
2021,EU (27),5488.334581
1980,China,1.142857143
1983,China,2.7
1984,China,3.333333333
1985,China,3
1986,China,2.833333333
1987,China,1.833333333
1988,China,4.416666667
1989,China,3.5
1990,China,10.14285714
1991,China,14.45362319
1992,China,13.44444444
1993,China,18.73333333
1994,China,21.91666667
1995,China,15.35709143
1996,China,26.14285714
1997,China,32.43571429
1998,China,57.89805195
1999,China,57.27142857
2000,China,66.74761905
2001,China,85.56440806
2002,China,112.0405844
2003,China,156.9614792
2004,China,256.8594055
2005,China,353.1166567
2006,China,462.1797752
2007,China,672.0656443
2008,China,842.9311863
2009,China,1095.684374
2010,China,1266.66204
2011,China,1608.072449
2012,China,1904.192805
2013,China,2354.773647
2014,China,2912.105464
2015,China,3182.249167
2016,China,3376.649215
2017,China,4039.439131
2018,China,4691.230586
2019,China,5381.682036
2020,China,5231.592891
2021,China,4692.707446
1980,United Kingdom,124.297619
1981,United Kingdom,117.6666667
1982,United Kingdom,137.6666667
1983,United Kingdom,134.1904762
1984,United Kingdom,131.1706349
1985,United Kingdom,154
1986,United Kingdom,157.5641414
1987,United Kingdom,196.2083333
1988,United Kingdom,214.9502869
1989,United Kingdom,233.7666667
1990,United Kingdom,286.9236111
1991,United Kingdom,282.6158494
1992,United Kingdom,315.3289072
1993,United Kingdom,336.8465641
1994,United Kingdom,400.8139573
1995,United Kingdom,419.1031351
1996,United Kingdom,489.2075409
1997,United Kingdom,527.5907232
1998,United Kingdom,619.6334753
1999,United Kingdom,582.5432325
2000,United Kingdom,707.5282543
2001,United Kingdom,691.1908676
2002,United Kingdom,737.6466624
2003,United Kingdom,902.8262825
2004,United Kingdom,985.0885722
2005,United Kingdom,1152.690711
2006,United Kingdom,1392.436454
2007,United Kingdom,1456.485635
2008,United Kingdom,1651.132974
2009,United Kingdom,1691.124448
2010,United Kingdom,1835.756232
2011,United Kingdom,1941.2875
2012,United Kingdom,2013.71834
2013,United Kingdom,2159.951752
2014,United Kingdom,2142.528767
2015,United Kingdom,2057.195446
2016,United Kingdom,2026.117981
2017,United Kingdom,2035.618059
2018,United Kingdom,1998.013507
2019,United Kingdom,2180.340957
2020,United Kingdom,2466.478157
2021,United Kingdom,3388.005031
1980,Canada,78.95
1981,Canada,76.91666667
1982,Canada,74.85
1983,Canada,72.57738095
1984,Canada,89.6
1985,Canada,118.4761905
1986,Canada,121.2190476
1987,Canada,145.5666667
1988,Canada,160.9545455
1989,Canada,157.4666667
1990,Canada,185.681746
1991,Canada,212.5837904
1992,Canada,243.2347042
