Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,237.509995,237.919998,232.800003,237.199997,235.936432,7312700
2021-05-05,239.779999,241.289993,236.949997,238.250000,236.980850,4935800
2021-05-06,237.750000,240.630005,235.520004,240.210007,238.930405,6425600
2021-05-07,243.570007,245.500000,241.369995,243.600006,242.302353,5385800
2021-05-10,241.100006,241.100006,232.380005,232.800003,231.559875,5317000
2021-05-11,225.970001,233.789993,225.270004,233.250000,232.007477,6746500
2021-05-12,228.119995,229.100006,222.820007,223.630005,222.438736,7631400
2021-05-13,227.380005,230.000000,224.009995,226.169998,224.965195,8945300
2021-05-14,229.660004,234.899994,227.399994,233.339996,232.097000,4181800
2021-05-17,229.910004,230.820007,226.839996,230.740005,229.510864,5052500
2021-05-18,232.919998,233.699997,229.179993,229.470001,228.247620,3808800
2021-05-19,224.279999,233.820007,223.940002,233.580002,232.335724,8100000
2021-05-20,235.500000,240.369995,235.130005,239.380005,238.104828,5718800
2021-05-21,240.789993,240.970001,237.500000,238.169998,236.901276,5445500
2021-05-24,240.300003,245.029999,239.880005,243.399994,242.103409,3761000
2021-05-25,245.520004,246.479996,243.320007,245.000000,243.694885,4049100
2021-05-26,245.000000,246.399994,243.330002,245.250000,243.943558,3245700
2021-05-27,244.779999,247.410004,244.199997,246.429993,245.117264,2743900
2021-05-28,247.169998,250.070007,246.729996,249.190002,247.862564,3471600
2021-06-01,250.970001,253.130005,247.320007,248.820007,247.494553,3960000
2021-06-02,248.500000,251.070007,247.669998,250.279999,248.946762,3225700
2021-06-03,247.690002,248.559998,244.800003,246.000000,244.689560,3820500
2021-06-04,248.360001,252.369995,248.330002,251.479996,250.140366,3591100
2021-06-07,250.869995,250.910004,248.539993,250.199997,248.867188,2899600
2021-06-08,251.919998,251.929993,246.270004,248.139999,246.818161,3079700
2021-06-09,249.139999,249.589996,247.210007,247.369995,246.052261,2856100
2021-06-10,247.440002,251.110001,247.350006,250.600006,249.265060,3285000
2021-06-11,251.490005,251.490005,249.589996,251.479996,250.140366,2421600
2021-06-14,252.000000,254.880005,250.839996,254.880005,253.522263,3140000
2021-06-15,254.100006,255.889999,252.020004,252.679993,251.333969,3493500
2021-06-16,253.470001,254.320007,248.440002,250.550003,249.215332,4798800
2021-06-17,249.619995,255.389999,249.619995,253.380005,252.030258,3924700
2021-06-18,251.210007,251.869995,246.130005,246.929993,245.614594,5068800
2021-06-21,246.919998,247.979996,244.960007,247.580002,246.261154,3951000
2021-06-22,247.779999,249.300003,246.270004,249.199997,247.872513,3047400
2021-06-23,249.929993,251.809998,249.720001,250.460007,249.125809,2097900
2021-06-24,252.929993,255.110001,252.660004,254.550003,253.194016,2021600
2021-06-25,255.070007,255.729996,252.910004,253.550003,252.199341,2585300
2021-06-28,255.529999,260.540009,255.529999,259.700012,258.316589,3477700
2021-06-29,259.700012,261.959991,258.380005,261.959991,260.564545,2558800
2021-06-30,261.589996,262.489990,260.109985,262.239990,260.843048,2714800
2021-07-01,261.570007,261.630005,257.480011,258.369995,256.993652,2443100
2021-07-02,260.450012,260.450012,258.209991,259.799988,258.416046,1757700
2021-07-06,260.959991,262.100006,256.470001,259.720001,258.336487,2781600
2021-07-07,261.230011,261.649994,255.110001,256.119995,254.755646,2509400
2021-07-08,251.000000,253.940002,248.889999,252.690002,251.343933,3430000
2021-07-09,254.059998,257.459991,252.100006,257.000000,255.630966,2760900
2021-07-12,258.209991,260.579987,257.290009,260.369995,258.983002,2228800
2021-07-13,259.619995,261.239990,258.220001,259.809998,258.425995,2453600
2021-07-14,262.649994,263.859985,258.399994,259.239990,257.859009,3352100
