#,Company,Location,# Laid Off,Date,%,Industry
1,Loft,Sao Paulo     N,384,7/5/2022,12%,Real Estate
2,eToro,Tel Aviv     No,100,7/5/2022,6%,Finance
3,Verbit,New York …,80,7/5/2022,10%,Data
4,Outschool,SF Bay Area,31,7/5/2022,18%,Education
5,Syte,Tel Aviv     No,13,7/5/2022,8%,Retail
6,Lightricks,Jerusalem,80,7/4/2022,12%,Consumer
7,Sendle,Sydney     Non,27,7/4/2022,12%,Logistics
8,Airtasker,Sydney     Non,,7/4/2022,,Consumer
9,Celsius,New York …,150,7/3/2022,25%,Crypto
10,LetsGetChecked,New York …,,7/2/2022,,Healthcare
11,Perx Health,Sydney     Non,,7/2/2022,,Healthcare
12,Zepto,Brisbane     N,,7/2/2022,10%,Finance
13,WanderJaunt,SF Bay Area,85,7/1/2022,100%,Travel
14,Canoo,Los Angeles,58,7/1/2022,6%,Transport…
15,Teleport,SF Bay Area,,7/1/2022,,Infrastruc…
16,Enjoy,SF Bay Area,400,6/30/2022,18%,Retail
17,Crejo.Fun,Bengaluru,170,6/30/2022,100%,Education
18,Nate,New York …,30,6/30/2022,20%,Retail
19,Snyk,Boston,30,6/30/2022,,Security
20,Stream,Boulder,20,6/30/2022,12%,Product
21,Finleap Connect,Hamburg     N,14,6/30/2022,10%,Finance
22,Abra,SF Bay Area,12,6/30/2022,5%,Crypto
23,Sundae,SF Bay Area,,6/30/2022,15%,Real Estate
,,,,,,
24,Toppr,Mumbai     No,350,6/29/2022,,Education
25,Unity,SF Bay Area,200,6/29/2022,4%,Other
26,Niantic,SF Bay Area,85,6/29/2022,8%,Consumer
27,AvantStay,Los Angeles,80,6/29/2022,,Travel
28,Qumulo,Seattle,80,6/29/2022,19%,Data
29,Clutch,Toronto     No,76,6/29/2022,22%,Transport…
30,Parallel Wireless,Nashua,60,6/29/2022,,Infrastruc…
31,Oye Rickshaw,New Delhi     N,40,6/29/2022,20%,Transport…
32,Baton,SF Bay Area,16,6/29/2022,25%,Transport…
33,Substack,SF Bay Area,13,6/29/2022,14%,Media
34,Degreed,SF Bay Area,,6/29/2022,15%,Education
35,HomeLight,SF Bay Area,,6/29/2022,19%,Real Estate
36,Modsy,SF Bay Area,,6/29/2022,,Retail
37,Volt Bank,Sydney     Non,,6/29/2022,100%,Finance
38,Huobi,Beijing     Non,300,6/28/2022,30%,Crypto
39,WhiteHat Jr,Mumbai     No,300,6/28/2022,,Education
40,StockX,Detroit,120,6/28/2022,8%,Retail
41,Vezeeta,Dubai     Non-,50,6/28/2022,10%,Healthcare
42,Bright Machines,SF Bay Area,30,6/28/2022,8%,Data
43,HealthMatch,Sydney     Non,18,6/28/2022,50%,Healthcare
44,Booktopia,Sydney     Non,,6/28/2022,,Retail
45,Nova Benefits,Bengaluru,,6/28/2022,30%,Healthcare
46,Una Brands,Singapore,,6/28/2022,10%,Retail
47,AppLovin,SF Bay Area,300,6/27/2022,12%,Marketing
48,UiPath,New York …,210,6/27/2022,5%,Data
,,,,,,
49,Udaan,Bengaluru,180,6/27/2022,4%,Retail
50,Cue,San Diego,170,6/27/2022,,Healthcare
51,Banxa,Melbourne,70,6/27/2022,30%,Crypto
52,SafeGraph,SF Bay Area,27,6/27/2022,25%,Data
53,Amount,Chicago,,6/27/2022,18%,Finance
54,Postscript,SF Bay Area,43,6/26/2022,,Marketing
55,Bitpanda,Vienna     Non,270,6/24/2022,27%,Crypto
56,Sunday,Atlanta,90,6/24/2022,23%,Finance
57,Bestow,Dallas,41,6/24/2022,14%,Finance
58,Ethos Life,SF Bay Area,40,6/24/2022,12%,Finance
59,Feather,New York …,,6/24/2022,,Retail
60,Netflix,SF Bay Area,300,6/23/2022,3%,Media
61,Aura,Boston,70,6/23/2022,9%,Security
62,Pipl,Spokane,22,6/23/2022,13%,Security
63,Vouch,SF Bay Area,15,6/23/2022,7%,Finance
64,Voyage SMS,Los Angeles,8,6/23/2022,13%,Marketing
65,Esper,Seattle,,6/23/2022,12%,Other
66,Kune,Nairobi     Non,,6/23/2022,100%,Food
